City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,81.18,scattered clouds,-0.6,73.0833,Scoop Guest House
1,Balabac,PH,80.35,broken clouds,7.9868,117.0645,Batalla’s Lodging House
2,Yarmouth,US,83.97,scattered clouds,41.7057,-70.2286,Blue Rock Resort
6,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
11,Coari,BR,87.93,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
19,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
23,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
24,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
29,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
30,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
32,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
33,Guskhara,IN,78.76,overcast clouds,23.5,87.75,Ananda Kuthi
34,Pattukkottai,IN,81.5,overcast clouds,10.4333,79.3167,Arasu Plaza Hotel
35,Vicksburg,US,80.33,scattered clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
39,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
40,Laguna,US,89.19,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
41,Labuhan,ID,75.31,few clouds,-6.8844,112.2051,DoubleFAG
48,Portland,US,88.99,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
53,Corinth,GR,83.89,clear sky,37.9407,22.9573,Ephira Hotel
54,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
55,Edson,CA,76.68,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
59,Canton,CN,77.88,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
63,Humberto De Campos,BR,79.84,few clouds,-2.5983,-43.4611,Pousada do Cabeça
64,Hamilton,US,86.88,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
